U_1,I_1,U_2,I_2,U_3,I_3,U_4,I_4
0.75,1.3,0.7,1.35,0.7,1.35,0.7,1.35
0.75,1.3,0.7,1.35,0.7,1.35,0.7,1.35
0.75,1.35,0.7,1.4,0.7,1.4,0.7,1.4
0.75,1.35,0.7,1.4,0.7,1.4,0.7,1.4
0.75,1.4,0.7,1.45,0.7,1.45,0.7,1.45
0.75,1.4,0.7,1.45,0.7,1.45,0.7,1.45
0.75,1.4,0.7,1.45,0.7,1.45,0.7,1.45
0.75,1.45,0.7,1.5,0.7,1.5,0.7,1.5
0.75,1.45,0.7,1.5,0.7,1.5,0.7,1.5
0.75,1.5,0.7,1.55,0.7,1.55,0.7,1.55
0.75,1.5,0.7,1.55,0.7,1.55,0.7,1.55
0.75,1.55,0.7,1.6,0.7,1.6,0.7,1.6
0.75,1.55,0.7,1.6,0.7,1.6,0.7,1.6
0.75,1.6,0.7,1.65,0.7,1.65,0.7,1.65
0.75,1.6,0.7,1.65,0.7,1.65,0.7,1.65
0.75,1.6,0.7,1.65,0.7,1.65,0.7,1.65
0.75,1.65,0.7,1.7,0.7,1.7,0.7,1.7
0.75,1.65,0.7,1.7,0.7,1.7,0.7,1.7
0.75,1.7,0.7,1.75,0.7,1.75,0.7,1.75
0.75,1.7,0.7,1.75,0.7,1.75,0.7,1.75
0.75,1.75,0.7,1.8,0.7,1.8,0.7,1.8
0.75,1.75,0.7,1.8,0.7,1.8,0.7,1.8
0.75,1.75,0.7,1.8,0.7,1.8,0.7,1.8
0.75,1.8,0.7,1.85,0.7,1.85,0.7,1.85
0.75,1.8,0.7,1.85,0.7,1.85,0.7,1.85
0.75,1.85,0.7,1.9,0.7,1.9,0.7,1.9
0.75,1.85,0.7,1.9,0.7,1.9,0.7,1.9
0.75,1.9,0.7,1.95,0.7,1.95,0.7,1.95
0.75,1.9,0.7,1.95,0.7,1.95,0.7,1.95
0.75,1.9,0.7,1.95,0.7,1.95,0.7,1.95
0.75,1.95,0.7,2,0.7,2,0.7,2
0.75,1.95,0.7,2,0.7,2,0.7,2
0.75,2,0.7,2.05,0.7,2.05,0.7,2.05
0.75,2,0.7,2.05,0.7,2.05,0.7,2.05
0.75,2.05,0.7,2.1,0.7,2.1,0.7,2.1
0.75,2.05,0.7,2.1,0.7,2.1,0.7,2.1
0.75,2.1,0.7,2.15,0.7,2.15,0.7,2.15
0.75,2.1,0.7,2.15,0.7,2.15,0.7,2.15
0.75,2.1,0.7,2.15,0.7,2.15,0.7,2.15
0.75,2.15,0.7,2.2,0.7,2.2,0.7,2.2
0.75,2.15,0.7,2.2,0.7,2.2,0.7,2.2
0.75,2.2,0.7,2.25,0.7,2.25,0.7,2.25
0.75,2.2,0.7,2.25,0.7,2.25,0.7,2.25
0.75,2.25,0.7,2.3,0.7,2.3,0.7,2.3
0.75,2.25,0.7,2.3,0.7,2.3,0.7,2.3
0.75,2.25,0.7,2.3,0.7,2.3,0.7,2.3
0.75,2.3,0.7,2.35,0.7,2.35,0.7,2.35
0.75,2.3,0.7,2.35,0.7,2.35,0.7,2.35
0.75,2.35,0.7,2.4,0.7,2.4,0.7,2.4
0.75,2.35,0.7,2.4,0.7,2.4,0.7,2.4
0.75,2.4,0.7,2.45,0.7,2.45,0.7,2.45
0.75,2.4,0.7,2.45,0.7,2.45,0.7,2.45
0.75,2.4,0.7,2.45,0.7,2.45,0.7,2.45
0.75,2.45,0.7,2.5,0.7,2.5,0.7,2.5
0.75,2.45,0.7,2.5,0.7,2.5,0.7,2.5
0.75,2.5,0.7,2.55,0.7,2.55,0.7,2.55
0.75,2.5,0.7,2.55,0.7,2.55,0.7,2.55
0.75,2.55,0.7,2.6,0.7,2.6,0.7,2.6
0.75,2.55,0.7,2.6,0.7,2.6,0.7,2.6
0.75,2.6,0.7,2.65,0.7,2.65,0.7,2.65
0.75,2.6,0.7,2.65,0.7,2.65,0.7,2.65
0.75,2.6,0.7,2.65,0.7,2.65,0.7,2.65
0.75,2.65,0.7,2.7,0.7,2.7,0.7,2.7
0.75,2.65,0.7,2.7,0.7,2.7,0.7,2.7
0.75,2.7,0.7,2.75,0.7,2.75,0.7,2.75
0.75,2.7,0.7,2.75,0.7,2.75,0.7,2.75
0.75,2.75,0.7,2.8,0.7,2.8,0.7,2.8
0.75,2.75,0.7,2.8,0.7,2.8,0.7,2.8
0.75,2.75,0.7,2.8,0.7,2.8,0.7,2.8
0.75,2.8,0.7,2.85,0.7,2.85,0.7,2.85
0.75,2.8,0.7,2.85,0.7,2.85,0.7,2.85
0.75,2.85,0.7,2.9,0.7,2.9,0.7,2.9
0.75,2.85,0.7,2.9,0.7,2.9,0.7,2.9
0.75,2.9,0.7,2.95,0.7,2.95,0.75,2.95
0.75,2.9,0.7,2.95,0.7,2.95,0.7,2.95
0.75,2.9,0.7,2.95,0.7,2.95,0.7,2.95
0.75,2.95,0.7,3,0.7,3,0.75,2.95
0.75,2.95,0.7,3,0.7,3,0.75,3
0.75,3,0.7,3.05,0.7,3.05,0.75,3.05
0.75,3,0.7,3.05,0.7,3.05,0.75,3
0.75,3.05,0.7,3.1,0.7,3.1,0.75,3.05
0.75,3.05,0.7,3.1,0.7,3.1,0.75,3.05
0.75,3.1,0.7,3.15,0.7,3.15,0.75,3.1
0.75,3.1,0.7,3.15,0.7,3.15,0.75,3.1
0.75,3.1,0.7,3.15,0.7,3.15,0.75,3.15
0.75,3.15,0.7,3.2,0.7,3.2,0.75,3.15
0.75,3.15,0.7,3.2,0.7,3.2,0.75,3.2
0.75,3.2,0.7,3.25,0.7,3.25,0.75,3.2
0.75,3.2,0.7,3.25,0.7,3.25,0.75,3.2
0.75,3.25,0.7,3.3,0.7,3.3,0.75,3.25
0.75,3.25,0.7,3.3,0.7,3.3,0.75,3.25
0.75,3.25,0.7,3.3,0.7,3.3,0.75,3.25
0.75,3.3,0.7,3.35,0.7,3.35,0.75,3.3
0.75,3.3,0.7,3.35,0.7,3.35,0.75,3.3
0.75,3.35,0.7,3.4,0.7,3.4,0.75,3.35
